KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2001-11,82.04,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2001-12,82.55,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-01,82.17,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-02,82.38,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-03,82.87,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-04,83.12,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-05,83.35,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-06,83.44,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-07,83.37,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-08,83.45,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-09,83.63,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-10,83.83,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-11,83.92,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2002-12,84.36,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2003-01,83.7,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2003-02,83.91,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2003-03,84.39,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XEF000.4.INX,M,U2,N,XEF000,4,INX,2003-04,84.75,A,F,,,P1M,,A,,000000 - ERGY00 - FOOD00,,ICPT.M.VAL.HICP.INDEX.EA.TOT_X_NRG_FOOD.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy and food,"Euro area (changing composition) - HICP - All-items excluding energy and food, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
