series,rounds,window,n_years,n_round_targets,mean,within_sd,disagreement,total_sd,iqr,q95,threshold,probability_lower,probability_upper
ECB longer term,Q1,2020–24,5,5,1.4921208069166358,0.8956669533695836,0.3015469752162814,0.9460090383581109,1.0024221258507136,3.018596598409057,3.0,0.04867269593787682,0.04867269593787682
ECB longer term,Q1,2020–24,5,5,1.4921208069166358,0.8956669533695836,0.3015469752162814,0.9460090383581109,1.0024221258507136,3.018596598409057,4.0,0.01120251183745408,0.01120251183745408
ECB longer term,Q1,2020–24,5,5,1.4921208069166358,0.8956669533695836,0.3015469752162814,0.9460090383581109,1.0024221258507136,3.018596598409057,5.0,0.00140540501554102,0.01120251183745408
ECB longer term,Q1,2020–24,5,5,1.4921208069166358,0.8956669533695836,0.3015469752162814,0.9460090383581109,1.0024221258507136,3.018596598409057,10.0,0.00021102845453502,0.006461767668996379
ECB longer term,Q1,2025–26,2,2,1.3463463779772404,0.8711321418429658,0.23044763453010145,0.9016848414066158,0.9493754700780733,2.8662621704440197,3.0,0.03963463405276005,0.03963463405276005
ECB longer term,Q1,2025–26,2,2,1.3463463779772404,0.8711321418429658,0.23044763453010145,0.9016848414066158,0.9493754700780733,2.8662621704440197,4.0,0.01063725360670735,0.01063725360670735
ECB longer term,Q1,2025–26,2,2,1.3463463779772404,0.8711321418429658,0.23044763453010145,0.9016848414066158,0.9493754700780733,2.8662621704440197,5.0,0.0,0.01063725360670735
ECB longer term,Q1,2025–26,2,2,1.3463463779772404,0.8711321418429658,0.23044763453010145,0.9016848414066158,0.9493754700780733,2.8662621704440197,10.0,0.0,0.01063725360670735
ECB longer term,Q1,2010–19,10,10,1.7075905071975925,0.7814430369811316,0.29214817024591866,0.8350023410271668,0.9973661964002387,3.0695742880679657,3.0,0.0551654246052148,0.0551654246052148
ECB longer term,Q1,2010–19,10,10,1.7075905071975925,0.7814430369811316,0.29214817024591866,0.8350023410271668,0.9973661964002387,3.0695742880679657,4.0,0.00458424695133295,0.00458424695133295
ECB longer term,Q1,2010–19,10,10,1.7075905071975925,0.7814430369811316,0.29214817024591866,0.8350023410271668,0.9973661964002387,3.0695742880679657,5.0,0.0,0.00458424695133295
ECB longer term,Q1,2010–19,10,10,1.7075905071975925,0.7814430369811316,0.29214817024591866,0.8350023410271668,0.9973661964002387,3.0695742880679657,10.0,0.0,0.00458424695133295
ECB longer term,Q1,2023–26,4,4,1.4106546824894468,0.8820912955043373,0.26823285954145726,0.9236605919234133,0.9851366289130853,2.9717611553144074,3.0,0.04705347943079938,0.04705347943079938
ECB longer term,Q1,2023–26,4,4,1.4106546824894468,0.8820912955043373,0.26823285954145726,0.9236605919234133,0.9851366289130853,2.9717611553144074,4.0,0.0119320363387804,0.0119320363387804
ECB longer term,Q1,2023–26,4,4,1.4106546824894468,0.8820912955043373,0.26823285954145726,0.9236605919234133,0.9851366289130853,2.9717611553144074,5.0,0.0,0.0119320363387804
ECB longer term,Q1,2023–26,4,4,1.4106546824894468,0.8820912955043373,0.26823285954145726,0.9236605919234133,0.9851366289130853,2.9717611553144074,10.0,0.0,0.0119320363387804
US next year,all (equal year weight),2006–09,4,16,2.16053655403,1.0802879119490085,0.6310339844410539,1.2637019286215045,1.4752970922013011,4.05835716875995,3.0,0.2679337082382523,0.2679337082382523
US next year,all (equal year weight),2006–09,4,16,2.16053655403,1.0802879119490085,0.6310339844410539,1.2637019286215045,1.4752970922013011,4.05835716875995,4.0,0.05674777843192748,0.05674777843192748
US next year,all (equal year weight),2006–09,4,16,2.16053655403,1.0802879119490085,0.6310339844410539,1.2637019286215045,1.4752970922013011,4.05835716875995,5.0,0.011688003635551268,0.011688003635551268
US next year,all (equal year weight),2006–09,4,16,2.16053655403,1.0802879119490085,0.6310339844410539,1.2637019286215045,1.4752970922013011,4.05835716875995,10.0,0.0,0.00298406927645725
US next year,all (equal year weight),2010–14,5,20,2.575451009853714,1.1405068727530252,0.4638423755268333,1.2332262474700386,1.402099507216502,4.512871297974106,3.0,0.34322043122821794,0.34322043122821794
US next year,all (equal year weight),2010–14,5,20,2.575451009853714,1.1405068727530252,0.4638423755268333,1.2332262474700386,1.402099507216502,4.512871297974106,4.0,0.09665386005314612,0.09665386005314612
US next year,all (equal year weight),2010–14,5,20,2.575451009853714,1.1405068727530252,0.4638423755268333,1.2332262474700386,1.402099507216502,4.512871297974106,5.0,0.023098757545518114,0.023098757545518114
US next year,all (equal year weight),2010–14,5,20,2.575451009853714,1.1405068727530252,0.4638423755268333,1.2332262474700386,1.402099507216502,4.512871297974106,10.0,0.0,0.005156064078886391
US next year,all (equal year weight),2015–19,5,20,2.179026738505753,1.1312037443541811,0.4516025658576092,1.2192595044024095,1.3593406287721996,4.004026604715313,3.0,0.20391012716526574,0.20391012716526574
US next year,all (equal year weight),2015–19,5,20,2.179026738505753,1.1312037443541811,0.4516025658576092,1.2192595044024095,1.3593406287721996,4.004026604715313,4.0,0.04750646861459567,0.04750646861459567
US next year,all (equal year weight),2015–19,5,20,2.179026738505753,1.1312037443541811,0.4516025658576092,1.2192595044024095,1.3593406287721996,4.004026604715313,5.0,0.00963287405246552,0.00963287405246552
US next year,all (equal year weight),2015–19,5,20,2.179026738505753,1.1312037443541811,0.4516025658576092,1.2192595044024095,1.3593406287721996,4.004026604715313,10.0,0.0,0.0021914149742957552
US next year,all (equal year weight),2020–24,5,20,2.278010848621623,1.7699220280133159,0.9473731919539186,2.01780429354424,2.1377121043487275,5.306763878678158,3.0,0.1571931001011919,0.389003137534965
US next year,all (equal year weight),2020–24,5,20,2.278010848621623,1.7699220280133159,0.9473731919539186,2.01780429354424,2.1377121043487275,5.306763878678158,4.0,0.15346326676785854,0.15346326676785854
US next year,all (equal year weight),2020–24,5,20,2.278010848621623,1.7699220280133159,0.9473731919539186,2.01780429354424,2.1377121043487275,5.306763878678158,5.0,0.025897469843776878,0.1526431001011919
US next year,all (equal year weight),2020–24,5,20,2.278010848621623,1.7699220280133159,0.9473731919539186,2.01780429354424,2.1377121043487275,5.306763878678158,10.0,0.00260973246879554,0.0027084504175134824
US next year,all (equal year weight),2025–26,2,7,1.7489079878977813,1.3356303924400565,0.4773917047553565,1.4197752863005944,1.5698355396549184,3.8702782725009888,3.0,0.03345585185124729,0.24402274470152646
US next year,all (equal year weight),2025–26,2,7,1.7489079878977813,1.3356303924400565,0.4773917047553565,1.4197752863005944,1.5698355396549184,3.8702782725009888,4.0,0.03345585185124729,0.03345585185124729
US next year,all (equal year weight),2025–26,2,7,1.7489079878977813,1.3356303924400565,0.4773917047553565,1.4197752863005944,1.5698355396549184,3.8702782725009888,5.0,0.0030750011623753163,0.03345585185124729
US next year,all (equal year weight),2025–26,2,7,1.7489079878977813,1.3356303924400565,0.4773917047553565,1.4197752863005944,1.5698355396549184,3.8702782725009888,10.0,0.0,0.0001402152671104088
US next year,all (equal year weight),2010–19,10,40,2.3772388741797332,1.135855308553603,0.4577224706922213,1.2262428759362243,1.3807200679943505,4.25844895134471,3.0,0.27356527919674184,0.27356527919674184
US next year,all (equal year weight),2010–19,10,40,2.3772388741797332,1.135855308553603,0.4577224706922213,1.2262428759362243,1.3807200679943505,4.25844895134471,4.0,0.0720801643338709,0.0720801643338709
US next year,all (equal year weight),2010–19,10,40,2.3772388741797332,1.135855308553603,0.4577224706922213,1.2262428759362243,1.3807200679943505,4.25844895134471,5.0,0.016365815798991816,0.016365815798991816
US next year,all (equal year weight),2010–19,10,40,2.3772388741797332,1.135855308553603,0.4577224706922213,1.2262428759362243,1.3807200679943505,4.25844895134471,10.0,0.0,0.003673739526591073
US next year,all (equal year weight),2023–26,4,15,1.6763197111879018,1.4246705106054698,0.5662397966566716,1.5351975294491809,1.6068222100917737,3.877664086289136,3.0,0.0356097588010815,0.23369412546431634
US next year,all (equal year weight),2023–26,4,15,1.6763197111879018,1.4246705106054698,0.5662397966566716,1.5351975294491809,1.6068222100917737,3.877664086289136,4.0,0.0356097588010815,0.0356097588010815
US next year,all (equal year weight),2023–26,4,15,1.6763197111879018,1.4246705106054698,0.5662397966566716,1.5351975294491809,1.6068222100917737,3.877664086289136,5.0,0.003171187119649177,0.0356097588010815
US next year,all (equal year weight),2023–26,4,15,1.6763197111879018,1.4246705106054698,0.5662397966566716,1.5351975294491809,1.6068222100917737,3.877664086289136,10.0,0.00011945073260071875,0.00024003913538668808
US three years ahead,all (equal year weight),2006–09,1,3,2.8445754985754994,1.2387725298464332,0.6755896685035768,1.4124842146872802,1.6479339099774517,4.980511844818846,3.0,0.474423433048433,0.474423433048433
US three years ahead,all (equal year weight),2006–09,1,3,2.8445754985754994,1.2387725298464332,0.6755896685035768,1.4124842146872802,1.6479339099774517,4.980511844818846,4.0,0.17097863247863246,0.17097863247863246
US three years ahead,all (equal year weight),2006–09,1,3,2.8445754985754994,1.2387725298464332,0.6755896685035768,1.4124842146872802,1.6479339099774517,4.980511844818846,5.0,0.04267450142450136,0.04267450142450136
US three years ahead,all (equal year weight),2006–09,1,3,2.8445754985754994,1.2387725298464332,0.6755896685035768,1.4124842146872802,1.6479339099774517,4.980511844818846,10.0,0.0,0.009591168091168034
US three years ahead,all (equal year weight),2010–14,5,20,2.743957178737196,1.279527026532558,0.5691808247063438,1.4038385879704633,1.6335243082420767,4.933796938120815,3.0,0.43016986079100716,0.43016986079100716
US three years ahead,all (equal year weight),2010–14,5,20,2.743957178737196,1.279527026532558,0.5691808247063438,1.4038385879704633,1.6335243082420767,4.933796938120815,4.0,0.14866017883997878,0.14866017883997878
US three years ahead,all (equal year weight),2010–14,5,20,2.743957178737196,1.279527026532558,0.5691808247063438,1.4038385879704633,1.6335243082420767,4.933796938120815,5.0,0.041731817090762305,0.041731817090762305
US three years ahead,all (equal year weight),2010–14,5,20,2.743957178737196,1.279527026532558,0.5691808247063438,1.4038385879704633,1.6335243082420767,4.933796938120815,10.0,0.0,0.009994816016826748
US three years ahead,all (equal year weight),2015–19,5,20,1.9819723226904902,1.3119732125382386,0.5138405383398477,1.4118896887884003,1.6517317864626897,4.1519205223459466,3.0,0.19435229635930015,0.19435229635930015
US three years ahead,all (equal year weight),2015–19,5,20,1.9819723226904902,1.3119732125382386,0.5138405383398477,1.4118896887884003,1.6517317864626897,4.1519205223459466,4.0,0.05655145230954837,0.05655145230954837
US three years ahead,all (equal year weight),2015–19,5,20,1.9819723226904902,1.3119732125382386,0.5138405383398477,1.4118896887884003,1.6517317864626897,4.1519205223459466,5.0,0.015646982596601567,0.015646982596601567
